Time,Acelerometer,Gyroscope,Magnetometer
00:26:12,"[-0.069824, 0.020996, 0.989502]","[0.915527, -0.061035, 0.061035]","[61.428114, 58.414692, -72.14992]"
00:26:13,"[-0.072021, 0.022217, 0.994141]","[1.251221, -0.366211, 0.061035]","[60.715904, 59.129245, -72.14992]"
00:26:14,"[-0.073486, 0.021729, 0.993652]","[0.976562, -0.396729, 0.030518]","[61.428114, 59.843798, -71.805529]"
00:26:15,"[-0.074463, 0.018799, 0.990967]","[1.098633, -0.274658, 0.030518]","[62.140324, 58.414692, -71.805529]"
00:26:16,"[-0.070557, 0.019287, 0.995605]","[1.190186, -0.579834, -0.061035]","[61.784219, 59.129245, -72.14992]"
00:26:18,"[-0.073242, 0.02002, 1.001221]","[0.946045, -0.549316, 0.183105]","[61.072009, 57.342863, -72.14992]"
00:26:19,"[-0.075684, 0.021729, 0.999512]","[1.251221, -0.549316, 0.030518]","[62.318376, 58.59333, -72.666506]"
00:26:20,"[-0.073242, 0.023438, 0.995361]","[1.037598, -0.549316, -0.061035]","[61.072009, 58.771968, -73.183093]"
00:26:21,"[-0.075439, 0.022217, 0.991455]","[1.12915, -0.457764, -0.061035]","[62.496429, 59.129245, -72.494311]"
00:26:22,"[-0.068359, 0.022705, 0.993164]","[1.190186, -0.274658, -0.061035]","[62.140324, 58.057416, -72.838702]"
00:26:23,"[-0.073242, 0.017578, 0.987793]","[1.12915, -0.305176, -0.091553]","[60.893956, 59.307883, -72.322115]"
00:26:24,"[-0.070557, 0.022217, 0.998535]","[0.976562, -0.427246, 0.091553]","[60.181746, 58.59333, -72.666506]"
00:26:25,"[-0.068115, 0.018066, 0.990234]","[0.823975, -0.366211, 0.030518]","[62.318376, 58.950607, -71.977724]"
00:26:26,"[-0.077148, 0.019531, 0.995605]","[0.946045, -0.305176, 0.091553]","[61.250061, 57.521501, -73.355288]"
00:26:27,"[-0.071533, 0.022705, 0.987793]","[1.159668, -0.366211, 0.12207]","[61.072009, 57.700139, -72.838702]"
00:26:28,"[-0.06958, 0.02417, 0.986572]","[1.190186, -0.488281, -0.061035]","[61.784219, 59.129245, -72.14992]"
00:26:29,"[-0.07373, 0.020752, 0.987793]","[1.068115, -0.427246, 0.0]","[61.784219, 58.414692, -72.494311]"
00:26:30,"[-0.072998, 0.018066, 0.996582]","[1.251221, -0.518799, 0.0]","[63.030586, 57.164225, -71.633333]"
00:26:31,"[-0.075684, 0.023682, 0.998779]","[1.00708, -0.427246, -0.12207]","[59.469536, 57.521501, -72.322115]"
00:26:32,"[-0.074707, 0.019043, 0.996582]","[1.00708, -0.549316, -0.305176]","[61.428114, 56.985586, -71.116747]"
00:26:33,"[-0.072266, 0.024902, 0.992432]","[1.220703, -0.244141, -0.061035]","[62.496429, 58.771968, -72.838702]"
00:26:34,"[-0.071533, 0.021973, 0.990234]","[0.915527, -0.274658, -0.091553]","[62.318376, 57.878777, -71.977724]"
00:26:35,"[-0.072754, 0.02124, 0.995361]","[1.12915, -0.335693, -0.030518]","[62.674481, 58.950607, -73.010897]"
00:26:36,"[-0.071289, 0.02124, 0.991455]","[0.915527, -0.335693, -0.061035]","[61.250061, 57.878777, -71.288942]"
00:26:37,"[-0.070312, 0.019775, 0.994141]","[1.068115, -0.457764, 0.0]","[60.893956, 57.521501, -73.010897]"
00:26:38,"[-0.071777, 0.014893, 0.989014]","[1.068115, -0.366211, -0.152588]","[60.715904, 59.129245, -72.838702]"
00:26:39,"[-0.073486, 0.023438, 0.994141]","[1.159668, -0.366211, 0.061035]","[61.072009, 58.414692, -71.116747]"
00:26:40,"[-0.071777, 0.023193, 0.991455]","[0.915527, -0.427246, 0.0]","[59.825641, 58.950607, -71.633333]"
00:26:41,"[-0.071533, 0.022705, 0.988525]","[1.312256, -0.518799, -0.030518]","[62.496429, 58.771968, -74.216266]"
00:26:42,"[-0.073975, 0.022949, 0.997314]","[1.037598, -0.091553, 0.213623]","[61.250061, 59.665159, -72.322115]"
00:26:43,"[-0.072266, 0.019531, 0.992432]","[1.190186, -0.335693, 0.152588]","[62.140324, 57.700139, -72.14992]"
00:26:44,"[-0.069824, 0.024658, 0.991455]","[0.946045, -0.396729, -0.091553]","[61.428114, 58.057416, -72.494311]"
00:26:45,"[-0.068359, 0.019287, 0.996094]","[1.12915, -0.488281, 0.061035]","[62.674481, 58.59333, -72.322115]"
00:26:46,"[-0.071777, 0.022949, 0.997803]","[0.976562, -0.213623, -0.12207]","[61.250061, 59.307883, -71.633333]"
00:26:47,"[-0.075439, 0.024658, 0.99707]","[0.823975, -0.610352, 0.183105]","[62.140324, 59.129245, -72.494311]"
00:26:48,"[-0.077881, 0.022217, 0.997314]","[1.00708, -0.579834, 0.244141]","[61.962271, 57.164225, -73.010897]"
00:26:49,"[-0.073242, 0.023926, 0.998535]","[1.098633, -0.244141, -0.030518]","[62.140324, 58.414692, -72.14992]"
00:26:50,"[-0.07251, 0.018066, 0.998535]","[0.823975, -0.488281, 0.0]","[62.318376, 58.236054, -71.977724]"
00:26:51,"[-0.070801, 0.017578, 0.996582]","[1.068115, -0.396729, 0.152588]","[63.742796, 59.307883, -74.044071]"
00:26:52,"[-0.070068, 0.02124, 0.996826]","[1.281738, -0.396729, 0.183105]","[62.140324, 58.414692, -71.805529]"
00:26:53,"[-0.074219, 0.01709, 0.992188]","[1.220703, -0.366211, -0.061035]","[61.606166, 58.59333, -73.010897]"
00:26:54,"[-0.072998, 0.018311, 0.983154]","[1.00708, -0.12207, 0.213623]","[62.318376, 57.878777, -72.322115]"
00:26:55,"[-0.074707, 0.022461, 0.994629]","[1.12915, -0.305176, -0.061035]","[60.715904, 58.057416, -72.838702]"
00:26:56,"[-0.071289, 0.023926, 0.999023]","[1.068115, -0.671387, -0.091553]","[62.496429, 58.771968, -72.494311]"
00:26:57,"[-0.072754, 0.023193, 0.991943]","[1.190186, -0.427246, 0.152588]","[61.962271, 59.307883, -71.977724]"
00:26:59,"[-0.072754, 0.020264, 0.996826]","[0.823975, -0.518799, -0.152588]","[61.784219, 57.342863, -71.805529]"
