Time,Acelerometer,Gyroscope,Magnetometer
18:13:37,"[-0.002828, 0.002549, -1.006485]","[-0.008746, 0.167661, 0.000558]","[0.156186, 0.175135, 0.409989]"
18:13:38,"[-0.000875, 0.002549, -0.999649]","[-0.008746, 0.198178, 0.122629]","[-1.561864, -0.700542, 2.254941]"
18:13:39,"[-0.000631, -0.002578, -1.00624]","[0.143842, -0.015445, 0.061593]","[1.71805, -1.225948, -0.819979]"
18:13:40,"[-0.002584, -0.003799, -1.005752]","[-0.130816, 0.167661, 0.214181]","[2.342796, -0.875677, 0.409989]"
18:13:41,"[-0.002584, 0.002793, -1.003799]","[0.326947, -0.045962, 0.092111]","[0.312373, -1.401084, 0.204995]"
18:13:42,"[-0.000387, 0.000595, -1.006973]","[-0.252887, -0.106998, 0.214181]","[-0.780932, -0.525406, 0.409989]"
18:13:43,"[-0.003561, -0.000381, -0.998916]","[0.387983, 0.04559, 0.122629]","[-0.624746, 0.350271, -1.024973]"
18:13:44,"[0.000345, 0.000595, -1.008926]","[0.17436, -0.07648, 0.031076]","[-1.405678, 0.175135, 0.819979]"
18:13:45,"[-0.005758, -0.001602, -1.005996]","[0.052289, 0.04559, -0.029959]","[1.561864, 0.0, 0.204995]"
18:13:46,"[-0.005026, -0.001602, -1.007949]","[-0.008746, 0.198178, 0.122629]","[1.249491, -1.050813, -1.024973]"
18:13:47,"[-0.006979, 0.00206, -1.00209]","[0.17436, 0.289731, 0.122629]","[0.156186, -1.225948, 0.409989]"
18:13:48,"[-0.001364, 0.005234, -1.008682]","[0.143842, 0.015073, 0.092111]","[0.0, 0.0, 1.844952]"
18:13:49,"[-0.002096, 0.001084, -1.002334]","[-0.039263, 0.137143, -0.060477]","[-0.468559, -0.175135, 0.409989]"
18:13:50,"[-0.006735, 0.003769, -1.003311]","[-0.008746, 0.167661, 0.000558]","[0.937118, 0.0, -0.614984]"
18:13:51,"[0.000101, 0.000595, -1.003799]","[0.052289, -0.07648, 0.061593]","[1.249491, -0.350271, -1.024973]"
18:13:52,"[0.000834, 0.000595, -0.996719]","[0.235395, 0.137143, -0.060477]","[-1.71805, -0.875677, -0.409989]"
18:13:53,"[-0.007467, 0.001816, -1.005508]","[-0.222369, 0.167661, 0.183664]","[-0.624746, 1.401084, -0.614984]"
18:13:54,"[-0.000387, 0.001328, -1.003555]","[0.052289, 0.289731, 0.061593]","[-1.093305, -0.525406, 0.819979]"
18:13:55,"[0.000345, 0.003769, -1.005752]","[0.387983, 0.350766, -0.029959]","[-1.405678, -1.576219, 0.0]"
18:13:56,"[-0.00234, 0.001328, -1.004043]","[-0.008746, 0.289731, 0.031076]","[-1.249491, -1.751355, 0.204995]"
18:13:57,"[0.00059, -0.000381, -1.006485]","[-0.008746, -0.015445, 0.214181]","[-0.624746, -0.700542, 0.204995]"
18:13:58,"[-0.001119, 0.000107, -1.007705]","[-0.130816, -0.07648, -0.090994]","[-0.156186, -0.525406, 2.049947]"
18:13:59,"[-0.000143, -0.001358, -0.999405]","[-0.069781, 0.04559, 0.000558]","[0.937118, 0.350271, 0.204995]"
18:14:00,"[-0.000875, 0.003769, -1.003555]","[-0.039263, 0.198178, 0.122629]","[0.312373, 0.0, -1.024973]"
18:14:01,"[-0.004293, 0.002304, -1.006485]","[-0.130816, -0.19855, 0.061593]","[1.093305, 1.92649, -1.229968]"
18:14:02,"[0.00059, 0.000595, -1.008194]","[-0.100299, 0.137143, 0.031076]","[1.249491, -0.350271, -0.614984]"
18:14:03,"[-0.004782, -0.000869, -1.003799]","[-0.222369, 0.076108, -0.090994]","[-1.405678, -0.525406, 2.049947]"
18:14:04,"[-0.004049, 0.002304, -1.004776]","[-0.313922, 0.289731, 0.000558]","[-2.18661, 0.0, 1.434963]"
18:14:05,"[-0.001119, 0.003525, -1.003799]","[0.113324, 0.198178, -0.060477]","[-0.156186, -0.175135, -0.409989]"
18:14:07,"[-0.000875, 0.001328, -0.99916]","[0.082807, 0.015073, -0.060477]","[-1.71805, 0.875677, 1.229968]"
18:14:08,"[-0.003073, -0.001358, -1.004043]","[-0.039263, 0.137143, 0.031076]","[-0.780932, -0.875677, 0.819979]"
18:14:09,"[-0.006002, 0.003281, -1.006729]","[0.326947, 0.320248, 0.031076]","[-2.18661, 1.751355, 1.024973]"
18:14:10,"[-0.009176, -0.003067, -1.00624]","[-0.039263, 0.198178, -0.182547]","[-0.937118, 0.0, -0.614984]"
18:14:11,"[0.000834, 0.00084, -0.999893]","[-0.161334, 0.106625, -0.029959]","[-0.624746, -1.050813, -1.024973]"
18:14:12,"[-0.002828, 0.001816, -0.997207]","[0.021772, 0.076108, -0.029959]","[-0.937118, 0.350271, -1.024973]"
18:14:13,"[-0.000143, 0.000351, -1.006973]","[0.143842, -0.106998, 0.122629]","[-0.937118, 0.0, -0.204995]"
18:14:14,"[-0.005758, 0.001328, -1.002578]","[0.113324, 0.259213, 0.214181]","[0.780932, 1.225948, 0.409989]"
